순서,식품분류기준대분류,식품분류기준중분류,식품분류기준소분류,요오드-131,세슘-134,세슘-137
232,수산물,어류,갈치,불검출,불검출,불검출
233,수산물,어류,가자미,불검출,불검출,불검출
234,수산물,어류,코다리,불검출,불검출,불검출
235,수산물,어류,코,불검출,불검출,불검출
236,수산물,어류,가자미,불검출,불검출,불검출
237,수산물,연체동물,오징어,불검출,불검출,불검출
238,수산물,어류,고등어,불검출,불검출,불검출
239,수산물,어류,동태,불검출,불검출,불검출
240,가공식품,음료,차,불검출,불검출,불검출
241,가공식품,음료,차,불검출,불검출,불검출
242,가공식품,음료,차,불검출,불검출,불검출
243,음용수,정수,정수,불검출,불검출,불검출
244,음용수,정수,정수,불검출,불검출,불검출
245,음용수,정수,정수,불검출,불검출,불검출
246,음용수,원수,원수,불검출,불검출,불검출
247,음용수,정수,정수,불검출,불검출,불검출
248,음용수,정수,정수,불검출,불검출,불검출
249,음용수,정수,정수,불검출,불검출,불검출
250,음용수,원수,원수,불검출,불검출,불검출
251,음용수,원수,원수,불검출,불검출,불검출
252,음용수,정수,정수,불검출,불검출,불검출
253,음용수,정수,정수,불검출,불검출,불검출
254,음용수,정수,정수,불검출,불검출,불검출
255,음용수,정수,정수,불검출,불검출,불검출
256,수산물,연체동물,오징어,불검출,불검출,불검출
257,수산물,어류,삼치,불검출,불검출,불검출
258,수산물,어류,고등어,불검출,불검출,불검출
259,수산물,어류,코다리,불검출,불검출,불검출
260,수산물,어류,가자미,불검출,불검출,불검출
261,수산물,연체동물,낙지,불검출,불검출,불검출
262,수산물,연체동물,주꾸미,불검출,불검출,불검출
263,수산물,어류,동태,불검출,불검출,불검출
264,수산물,갑각류,꽃게,불검출,불검출,불검출
265,수산물,어류,대구,불검출,불검출,불검출
266,수산물,어류,갈치,불검출,불검출,불검출
267,수산물,어류,조기,불검출,불검출,불검출
268,수산물,건어물,멸치,불검출,불검출,불검출
269,수산물,해조류,다시마,불검출,불검출,불검출
270,수산물,해조류,미역,불검출,불검출,불검출
271,수산물,해조류,김,불검출,불검출,불검출
272,수산물,어류,고등어,불검출,불검출,불검출
273,수산물,어류,꽁치,불검출,불검출,불검출
274,수산물,어류,명태,불검출,불검출,불검출
275,수산물,어류,삼치,불검출,불검출,불검출
276,수산물,연체동물,오징어,불검출,불검출,불검출
277,수산물,어류,임연수,불검출,불검출,불검출
278,수산물,어류,적어,불검출,불검출,불검출
279,수산물,어류,청어,불검출,불검출,불검출
280,수산물,어류,갈치,불검출,불검출,불검출
281,수산물,어류,대구,불검출,불검출,불검출
282,수산물,어류,아귀,불검출,불검출,불검출
283,수산물,어류,조,불검출,불검출,불검출
284,수산물,어류,방어,불검출,불검출,불검출
285,수산물,어류,병어,불검출,불검출,불검출
286,수산물,어류,우럭,불검출,불검출,불검출
287,수산물,어류,전갱이,불검출,불검출,불검출
288,수산물,어류,가자미,불검출,불검출,불검출
289,수산물,연체동물,낙지,불검출,불검출,불검출
290,수산물,어류,코다리,불검출,불검출,불검출
291,수산물,어류,가오리,불검출,불검출,불검출
